Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10960.00,47306,4.32,9.97,-0.29,0.03,,,,,49757.40,,,,,,,,,,,3722.0,1089.2,,,,1430.4,819.8,29.7,,364.1,,305.4,,368.3,,75.3,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42758.0,76.45,5067,207.4,3813.30,6228.22,3846.98,3297.22,,,,416.6,399.2,432.3,8116.72,7939.92,580.60,8.63,9.72,9.18,23843.8,1.09,,,53621.8,12.79,,,,,,,,,,,,,0.7,26.3,25.6,,,,
Good Wx.,,,3880.80,36908,9.51,9.71,-0.21,0.03,,,,,38692.00,,,,,,,,,,,2923.6,454.6,,,,412.8,263.7,29.2,,230.2,,31.9,,25.6,,16.7,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32906.0,78.62,5219,206.9,2848.00,1907.13,1580.41,845.00,,,,446.9,442.5,468.5,1729.10,1729.10,4.30,8.62,9.74,9.18,23269.6,1.12,,,53882.5,12.90,,,,,,,,,,,,,1.1,26.9,26.3,,,,
Bad Wx.,,,317.48,3839,12.09,13.22,-1.22,0.09,,,,,4132.00,,,,,,,,,,,297.8,29.9,,,,48.7,48.7,,,85.2,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3567.0,83.00,5889,206.1,317.48,130.05,167.77,131.00,,,,317.4,337.3,489.5,89.00,89.00,,10.47,10.99,10.73,41266.8,0.52,,,63842.2,12.95,,,,,,,,,,,,,3.5,17.7,16.0,,,,
2025-01-01 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,18.02,0,,,,,,,,,,0.00,1259.0,,,316.1,,,,,,,,,,,,,,,,,1.9,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02,,,8811.8,,,489.0,,,18.02,18.02,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,5,,,,,0.5,23.0,23.0,1029.0,,,1029
2025-01-02 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,311.8,,,,,,,,,,,,,,,,,2.5,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11596.8,,,483.2,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,ENE,3,,,,,0.5,,17.0,1031.0,,,1031
2025-01-03 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,307.3,,,,,,,,,,,,,,,,,2.6,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12040.8,,,501.7,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,4,,,N,0.30,1.0,22.0,20.0,1032.0,,,1032
2025-01-04 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,302.8,,,,,,,,,,,,,,,,,2.8,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11916.0,,,496.5,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,E,4,,,,,1.0,,18.0,1031.0,,,1031
2025-01-05 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,,,,,,,,,,,0.00,1259.0,,,298.2,,,,,,,,,,,,,,,,,2.8,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11757.6,,,489.9,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,S,7,,,,,3.0,24.0,23.0,1022.0,,,1022
2025-01-06 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,293.2,,,,,,,,,,,,,,,,,3.1,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11548.8,,,481.2,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NW,7,,,,,3.0,20.0,7.0,1023.0,,,1023
2025-01-07 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,287.6,,,,,,,,,,,,,,,,,3.7,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,6.00,,11280.0,2100.0,,470.0,350.0,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NNE,5,,,,,1.3,18.0,7.0,1030.0,,,1030
2025-01-08 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,282.8,,,,,,,,,,,,,,,,,2.9,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,12000.0,,,500.0,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,N,5,,,,,1.3,18.0,6.0,1030.0,,,1030
2025-01-09 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,278.0,,,,,,,,,,,,,,,,,2.9,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11980.8,,,499.2,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,4,,,,,1.0,19.0,12.0,1028.0,,,1028
2025-01-10 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,272.5,,,,,,,,,,,,,,,,,3.5,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,11.00,,9559.2,3272.5,,398.3,297.5,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,WNW,7,,,,,3.0,18.0,1.0,1015.0,,,1015
2025-01-11 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,267.0,,,,,,,,,,,,,,,,,3.5,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,19.00,,7591.2,5705.7,,316.3,300.3,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,5,,,,,2.0,19.0,7.0,1024.0,,,1024
2025-01-12 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,258.4,,,,,,,,,,,,,,,,,3.5,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,9.00,10473.6,,3450.6,436.4,,383.4,24.00,24.00,7.00,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,ENE,3,,,,,1.0,20.0,16.0,1024.0,,,1024
2025-01-13 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,253.0,,,,,,,,,,,,,,,,,3.5,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,11.00,10516.8,,3272.5,438.2,,297.5,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,8,,,,,2.5,18.0,14.0,1025.0,,,1025
2025-01-14 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,247.6,,,,,,,,,,,,,,,,,3.5,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,12.00,10519.2,,3500.4,438.3,,291.7,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,7,,,,,1.5,18.0,13.0,1033.0,,,1033
2025-01-15 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,242.2,,,,,,,,,,,,,,,,,3.5,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,24.00,6969.6,,6960.0,290.4,,290.0,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,E,5,,,,,1.0,18.0,18.0,1033.0,,,1033
2025-01-16 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,237.5,,,,,,,,,,,,,,,,,2.8,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11952.0,,,498.0,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,6,,,,,1.0,19.0,16.0,1030.0,,,1030
2025-01-17 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,232.7,,,,,,,,,,,,,,,,,2.9,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,11438.4,,,476.6,,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,NE,5,,,,,1.3,19.0,18.0,1023.0,,,1023
2025-01-18 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,227.0,,,,,,,,,,,,,,,,,3.7,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,12.00,9544.8,,3693.6,397.7,,307.8,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,SW,3,,,,,1.2,20.0,21.0,1016.0,,,1016
2025-01-19 18:00,28° 51' N / 089° 19' W,Noon Maneuvering,24.00,0,,,,,,,,,,0.00,1259.0,,,221.2,,,,,,,,,,,,,,,,,3.8,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,,7000.8,7000.8,,291.7,291.7,,24.00,24.00,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,N,8,,,,,1.8,20.0,10.0,1026.0,,,1026
2025-01-20 16:18,28° 51' N / 089° 19' W,Heave Anchor,22.30,0,,,,,,214.0,,13.0,,218.00,1259.0,,,215.9,,,,,,,,,,,,,,,,,3.5,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30,22.30,,6511.6,6511.6,,292.0,292.0,22.30,22.30,,6.00,8.80,7.40,0.0,2.80,,B,41003.0,,,,,,,,,,,,,,,,,,,,
2025-01-20 17:00,PILOTTOWN,Begin Of Sea Passage,0.70,6,8.57,,,,,138.0,,13.0,7.00,212.00,1259.0,,,215.2,,,,,,,,,,,,,,,0.5,,0.2,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,63.57,2000,357.1,0.70,,0.70,0.70,,340.0,340.0,,485.7,485.7,,,,5.70,8.70,7.20,0.0,3.00,,B,41003.0,,,,USLO9,,,-6,NE,7,SE,2.0,N,0.20,2.0,18.0,6.0,1035.0,6.00,,1035
2025-01-20 18:00,28° 33' N / 089° 17' W,Destination Changed,1.00,13,13.00,13.32,-0.30,-0.02,Y,180.0,,13.0,14.00,198.00,1259.0,,,214.5,,,,,,,,,,,,,,,0.5,,0.2,,,,,,,,,0.5,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,78.87,5000,100.0,1.00,,1.00,1.00,,237.4,245.6,,237.4,245.6,,,,5.70,8.70,7.20,0.0,3.00,,B,41003.0,,,,USLO9,USPIW,,-6,,,,,,,,,,,,,
2025-01-20 22:00,L.O.O.P.,End Of Sea Passage,4.00,53,13.25,13.38,-0.31,0.18,Y,,,,57.00,,1259.0,,,209.7,,,,,,,,,,,,,,,4.3,,0.5,,,,,,,,,4.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,78.87,5000,217.0,4.00,,4.00,4.00,,949.6,982.4,,237.4,245.6,,,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,,USPIW,,,NE,7,SE,2.0,N,1.00,2.0,18.0,10.0,1031.0,6.00,,1031
2025-01-20 22:30,27° 48' N / 089° 14' W,Begin Waiting/Drifting,0.50,5,,,,,,,,,6.00,,1259.0,,,209.2,,,,,,,,,,,,,,,0.5,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,76.67,4000,230.0,0.50,,0.50,0.50,,192.0,192.0,,384.0,384.0,,,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,USLO9,,,-6,NE,7,SE,2.5,N,2.00,2.0,18.0,18.0,1031.0,6.00,,1031
2025-01-21 17:30,27° 02' N / 089° 08' W,End Waiting/Drifting,19.00,48,,,,,,326.0,,13.0,49.00,118.00,1259.0,,,205.6,,,,,,,,,,,,,,,,,2.2,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,,,8749.5,,,460.5,,19.00,19.00,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,USLO9,,,-6,,,,,,,,,,,,,
2025-01-21 18:00,L.O.O.P.,Begin Of Sea Passage,0.50,4,8.00,,,,,326.0,,13.0,5.00,114.00,1259.0,,,205.3,,,,,,,,,,,,,,,0.2,,0.1,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,34.00,2300,173.9,0.50,,0.50,,,229.0,,,458.0,,,,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,USLO9,,2025-01-22 06:01,-6,E,8,E,3.5,N,2.00,3.5,22.0,18.0,1026.0,6.00,,1026
2025-01-22 07:00,L.O.O.P.,End Of Sea Passage,13.00,108,8.31,10.46,-1.93,-0.22,N,,,,121.00,,1259.0,,,187.3,,,,,,,,,,,,,,,16.4,,1.6,,,,,,,,,16.4,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,78.81,5300,238.0,13.00,,13.00,13.00,,3377.4,3443.7,,259.8,264.9,,,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,,USLO9,2025-01-22 06:01,,N,9,SE,2.5,N,2.00,2.5,22.0,5.0,1035.0,6.00,,1035
2025-01-22 08:30,28° 52' N / 089° 55' W,Drop Anchor,1.50,12,,,,,,,,,13.00,,1259.0,,,186.3,,,,,,,,,,,,,,,0.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,56.56,3300,161.6,1.50,,1.50,1.50,,422.0,431.0,,281.3,287.3,,,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,USLO9,,2025-01-22 06:01,-6,NNE,8,ESE,1.5,N,2.00,5.0,22.0,5.0,1035.0,5.00,,1035
2025-01-22 18:00,28° 52' N / 089° 55' W,Noon Maneuvering,9.50,0,,,,,,,,,,3.40,1259.0,,,184.5,,,,,,,,,,,,,,,,,1.1,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50,,,4884.0,,,514.1,,9.50,9.50,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,USLO9,,2025-01-22 20:00,-6,NNE,4,,,N,2.00,1.0,17.0,5.0,1034.0,,,1034
2025-01-22 20:30,28° 52' N / 089° 55' W,Heave Anchor,2.50,0,,,,,,280.0,,5.0,,4.00,1259.0,,,184.2,,,,,,,,,,,,,,,,,0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,1050.0,,,420.0,,2.50,2.50,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,USLO9,,2025-01-22 20:30,-6,,,,,,,,,,,,,
2025-01-22 22:54,L.O.O.P.,Arrival,2.40,5,2.08,,,,,,,,5.00,,1259.0,,,183.0,,,,,,,,,,,,,,,0.6,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,34.61,2000,164.7,1.70,,2.40,2.40,,901.9,901.9,,375.8,375.8,2.40,2.40,,6.15,8.35,7.25,0.0,2.20,,B,41707.0,,,,,,2025-01-22 20:30,,,,,,,,,,,,,,
2025-01-23 18:00,L.O.O.P.,Noon In Port,19.10,,,,,,,,,,,,1259.0,,,177.9,,,,,,,,,,,,,,,,,3.4,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.10,19.10,,6732.8,6948.6,,352.5,363.8,19.10,19.10,,,,,,,,,,,,,,,,,NE,6,,,,,1.8,,6.0,1034.0,,,1034
2025-01-24 00:30,L.O.O.P.,Departure,6.50,,,,,,,99.0,,7.0,,3.00,1259.0,,,177.1,,,,,,,,,,,,,,,,,0.5,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50,6.50,,1657.5,1657.5,,255.0,255.0,6.50,6.50,,13.80,13.80,13.80,63606.4,0.00,,,84301.0,,,,USLO9,,2025-01-25 18:00,-6,,,,,,,,,,,,,
2025-01-24 01:00,L.O.O.P.,Begin Of Sea Passage,0.50,1,1.60,,,,,103.0,,6.7,1.00,3.00,1259.0,,,176.6,,,,,,,,,,,,,,,0.4,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,37.63,2000,380.0,0.50,,0.50,,,225.0,,,450.0,,,,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,USLO9,,2025-01-25 18:00,-6,,,,,,,,,,,,,
2025-01-24 01:48,L.O.O.P.,End Of Sea Passage,0.80,3,3.56,4.12,-0.06,-0.50,Y,,,,3.00,,1259.0,,,176.2,,,,,,,,,,,,,,,0.4,,0.0,,,,,,,,,0.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,19.58,2000,237.5,0.80,,0.80,,,320.0,,,400.0,,,,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,,USLO9,2025-01-25 18:00,,,,,,,,,,,,,,
2025-01-24 02:00,28° 52' N / 089° 56' W,Drop Anchor,0.20,0,,,,,,,,,0.30,,1259.0,,,175.8,,,,,,,,,,,,,,,0.4,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,53.42,5000,380.0,0.20,,0.20,0.20,,100.0,100.0,,500.0,500.0,,,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,USLO9,,2025-01-25 18:00,-6,E,6,,,,,1.5,,9.0,1036.0,,,1036
2025-01-24 18:00,28° 52' N / 089° 56' W,Noon Maneuvering,16.00,0,,,,,,,,,,3.00,1259.0,,,172.7,,,,,,,,,,,,,,,,,1.8,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,7616.0,,,476.0,,16.00,16.00,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,USLO9,,2025-01-25 18:00,-6,N,4,,,,,0.5,,11.0,1037.0,,,1037
2025-01-25 18:00,28° 52' N / 089° 56' W,Noon Maneuvering,24.00,0,,,,,,,,,,3.00,1259.0,,,168.3,,,,,,,,,,,,,,,,,2.6,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,10536.0,,,439.0,,24.00,24.00,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,USLO9,,2025-01-25 18:00,-6,E,4,,,,,1.0,18.0,12.0,1035.0,,,1035
2025-01-25 19:30,28° 52' N / 089° 56' W,Heave Anchor,1.50,0,,,,,,277.0,,4.0,,3.00,1259.0,,,167.8,,,,,,,,,,,,,,,,,0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.00,,735.0,490.0,,490.0,490.0,1.50,1.50,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,USLO9,,2025-01-25 18:00,-6,,,,,,,,,,,,,
2025-01-25 21:30,L.O.O.P.,Arrival,2.00,4,2.00,,,,,,,,5.00,,1259.0,,,167.1,,,,,,,,,,,,,,,0.3,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,44.24,1800,161.6,1.10,,2.00,2.00,,723.0,730.0,,361.5,365.0,1.00,1.00,,13.80,13.80,13.80,63606.4,0.00,,L,84301.0,,,,,,2025-01-25 18:00,,,,,,,,,,,,,,
2025-01-26 18:00,L.O.O.P.,Noon In Port,20.50,,,,,,,,,,,,1259.0,,,140.1,,,,,,,,,,,,,,,,,4.4,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50,20.50,,8800.6,8800.6,,429.3,429.3,20.50,19.00,19.00,,,,,,,,,,,,,,,,SE,6,,,,,1.2,,22.0,1031.0,,,1031
2025-01-27 04:54,L.O.O.P.,Departure,10.90,,,,,,,180.0,,13.0,,85.00,1259.0,,,125.2,,,,,,,,,,,,,,,,,2.6,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.90,10.90,,5450.0,5450.0,,500.0,500.0,10.90,6.00,6.00,6.10,8.45,7.28,0.0,2.35,,,41965.0,13.00,,,MXTAM,,2025-01-27 12:00,-6,,,,,,,,,,,,,
