Event Time,Position,Event Type(s),Time (hrs),Distance (nm),SOG (kts),Perf. Speed (kts),wxF (kts),cuF (kts),Good wx day (y/n),Course (°),Log Speed (kts),Int.Speed Next 24 Hrs (kts),Distance Through Water (nm),Distance To Go (nm),BROB - VLSHFO (mt),BROB - VLSMGO (mt),BROB - ULSHFO (mt),BROB - ULSMGO (mt),BROB - ULSLFO (mt),BROB - VLSLFO (mt),BROB - HSHFO (mt),Fuel Debunkered - HSHFO (mt),Sounding Correction - HSHFO (mt),ME Cons - VLSHFO (mt),AE Cons - VLSHFO (mt),AE Cons - VLSLFO (mt),AE Cons - VLSMDO (mt),AE Cons - VLSMGO (mt),Boiler Cons - VLSHFO (mt),Boiler Heat Cons - VLSHFO,Boiler Clean Cons - VLSHFO,ME Cons - ULSHFO (mt),ME Cons - ULSMGO (mt),AE Cons - ULSHFO (mt),AE Cons - ULSMGO (mt),Boiler Cons - ULSHFO (mt),Boiler Cons - ULSMGO (mt),Boiler Heat Cons - ULSHFO,Boiler Heat Cons - ULSMGO,Boiler Clean Cons - ULSHFO,Boiler Clean Cons - ULSMGO,ME Cons Since BOSP - VLSHFO (mt),ME Cons Since BOSP - ULSHFO (mt),ME Cons Since BOSP - ULSMGO (mt),AE Cons Since BOSP - VLSHFO (mt),AE Cons Since BOSP - ULSHFO (mt),AE Cons Since BOSP - ULSMGO (mt),Boiler Clean Cons Since BOSP - VLSHFO (mt),Boiler Clean Cons Since BOSP - ULSHFO (mt),Boiler Clean Cons Since BOSP - ULSMGO (mt),Boiler Cons Since BOSP - VLSHFO (mt),Boiler Cons Since BOSP - ULSHFO (mt),Boiler Cons Since BOSP - ULSMGO (mt),Other Cons Since BOSP - ULSHFO (mt),Other Cons Since BOSP - ULSMGO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - VLSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - ULSMGO (mt),Boiler Inert Cons - VLSHFO,Boiler Inert Cons - ULSHFO,Boiler Inert Cons - ULSMGO,Boiler Inert Cons Since BOSP - VLSHFO (mt),Boiler Inert Cons Since BOSP - ULSHFO (mt),Boiler Inert Cons Since BOSP - ULSMGO (mt),Incinerator - VLSLFO,Incinerator - ULSHFO,Incinerator - ULSMGO,Inert Gas Generators Cons - ULSHFO,Inert Gas Generators Cons - ULSMGO,Other Cons - VLSHFO,ME Cons - VLSLFO (mt),ME Cons - VLSMDO (mt),ME Cons - VLSMGO (mt),ME Cons - ULSLFO (mt),AE Cons - ULSLFO (mt),Boiler Cons - VLSLFO (mt),Boiler Clean Cons - VLSLFO,Other Cons - VLSLFO,ME Cons Since BOSP - VLSLFO (mt),AE Cons Since BOSP - VLSLFO (mt),Boiler Clean Cons Since BOSP - VLSLFO (mt),Other Cons Since BOSP - VLSLFO (mt),Loading Cons - VLSLFO,Discharge Cons - VLSLFO,Boiler Inert Cons - VLSLFO,ME Cons - HSHFO (mt),AE Cons - HSHFO (mt),Boiler Cons - HSHFO (mt),Boiler Heat Cons - HSHFO,Other Cons - HSHFO,Boiler Clean Cons Since BOSP - HSHFO (mt),Total Fuel Cons for Maneuvering Between EOSP to BOSP to be Entered - HSHFO (mt),Boiler Inert Cons - HSHFO,Incinerator - HSHFO,Boiler Heat Cons - VLSLFO,ME Cylinder Oil Cons (L),Avg Prop. RPM (rpm),ME Power (kW),SFOC (g/kWh),ME Hours (hrs),Aux Engine Hours 1 (hrs),Aux Engine Hours 2 (hrs),Aux Engine Hours 3 (hrs),Aux Energy Produced 1 (kWh),Aux Energy Produced 2 (kWh),Aux Energy Produced 3 (kWh),Aux Engine 1 Power (kW),Aux Engine 2 Power (kW),Aux Engine 3 Power (kW),Boiler Hours (hrs),Boiler 1 Hours (hrs),Boiler 2 Hours (hrs),Fore Draft (m),Aft Draft (m),Mean Draft (m),Cargo Weight (mt),Trim (m),Draft Type,Load,Displacement (mt),Ordered Speed (kts),Cargo Heating Hours (hrs),Ordered ME Consumption (mt/24 hrs),Next Port UN/Locode,Previous Port UN/Locode,Next Port ETA (hrs),Next Port Time Offset from UTC (hrs),Wind Direction,Wind Beaufort,Swell Direction,Swell Height (m),Current Direction,Current Speed (kts),Seas Height (m),Sea Surface Temp. (°C),Air Temp. (°C),Barometric Pressure (mBars),Swell Wave Period (s),Sea Direction,AtmosPress
Overall,,,10750.73,70692,6.58,11.37,-0.49,-0.03,,,,,73750.70,,,,,,,,,,,6781.1,1243.4,,,,1366.5,431.5,120.0,,469.9,,307.9,,749.1,,285.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41609.0,77.40,5731,199.4,6710.51,5951.01,6361.50,5435.82,,,,373.9,369.3,383.3,5047.76,4989.66,355.40,8.81,9.98,9.39,37001.9,1.18,,,81187.7,12.20,,,,,,,,,,,,,1.3,21.2,27.3,,,,
Good Wx.,,,5526.55,61298,11.09,11.45,-0.33,-0.03,,,,,63709.40,,,,,,,,,,,5775.1,745.8,,,,514.7,239.4,112.0,,325.0,,47.6,,49.2,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34852.0,79.34,5988,193.5,5394.51,2747.84,3093.68,3119.78,,,,386.6,376.2,370.6,1712.66,1672.66,170.98,9.08,10.18,9.62,39631.4,1.10,,,83240.1,12.20,,,,,,,,,,,,,1.3,22.8,30.4,,,,
Bad Wx.,,,767.52,7020,9.15,10.83,-1.66,-0.02,,,,,7501.00,,,,,,,,,,,887.1,103.3,,,,193.8,168.0,,,40.7,,4.7,,5.7,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5258.0,79.24,6263,196.5,767.52,574.43,373.62,271.20,,,,416.1,370.7,386.3,308.02,308.02,,11.56,11.99,11.76,72570.3,0.43,,,103639.9,12.37,,,,,,,,,,,,,4.3,17.5,16.1,,,,
2025-01-01 14:00,48° 27' N / 028° 51' W,Noon At Sea,14.02,165,11.76,12.46,-0.98,0.28,N,270.0,,12.5,162.00,2072.00,766.4,,,452.7,,,,,,21.5,2.0,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,83.60,8440,181.7,14.02,2.13,14.02,,958.5,5608.0,,450.0,400.0,,14.02,14.02,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-09 22:00,-5,ENE,7,,,,,3.4,,10.0,1029.0,,,1029
2025-01-02 14:00,48° 07' N / 035° 27' W,Noon At Sea,24.00,268,11.17,12.71,-1.74,0.20,N,263.0,,12.5,266.00,1804.00,714.5,,,452.7,,,,,,31.9,3.0,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,81.00,7172,185.3,24.00,6.70,24.00,,2010.0,9120.0,,300.0,380.0,,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-09 22:00,-5,ENE,7,,,,,5.0,,13.0,1025.0,,,1025
2025-01-03 15:00,46° 58' N / 041° 16' W,Noon At Sea,25.00,245,9.80,10.91,-1.58,0.47,N,47.0,,10.0,245.00,1559.00,669.2,,,452.7,,,,,,24.3,4.0,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,69.70,5108,190.3,25.00,25.00,25.00,,11250.0,11250.0,,450.0,450.0,,25.00,25.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-10 11:00,-5,SSE,7,,,,,4.0,,15.0,1010.0,,,1010
2025-01-04 15:00,43° 54' N / 044° 17' W,Noon At Sea,24.00,228,9.50,10.27,-0.70,-0.07,Y,209.0,,10.0,227.00,1446.00,619.7,,,452.7,,,,,,29.3,3.2,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,76.60,6478,188.5,24.00,11.00,24.00,,4400.0,9600.0,,400.0,400.0,,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-11 08:00,-5,SW,5,,,,,3.6,,16.0,1014.0,,,1014
2025-01-05 16:00,41° 46' N / 046° 03' W,Noon At Sea,25.00,156,6.24,9.44,-2.74,-0.46,N,209.0,,10.0,169.00,1290.00,568.0,,,452.7,,,,,,31.5,3.2,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,75.80,6663,189.1,25.00,25.00,25.00,,9250.0,9250.0,,370.0,370.0,,25.00,25.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-12 11:00,-5,SW,10,,,,,6.6,,13.0,993.0,,,993
2025-01-06 16:00,41° 56' N / 047° 52' W,Noon At Sea,24.00,108,4.50,9.20,-4.36,-0.34,N,283.0,,10.0,106.00,1217.00,516.8,,,452.7,,,,,,27.7,3.5,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,71.20,6169,187.1,24.00,24.00,24.00,,9120.0,9120.0,,380.0,380.0,,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 11:00,-5,WSW,8,,,,,6.6,,11.0,994.0,,,994
2025-01-07 16:00,42° 12' N / 050° 26' W,Noon At Sea,24.00,120,5.00,8.06,-2.71,-0.35,N,263.0,,10.0,119.00,1097.00,463.4,,,452.7,,,,,,30.6,3.2,,,,19.6,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,72.90,6756,188.7,24.00,24.00,24.00,,8400.0,8400.0,,350.0,350.0,,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 13:00,-5,W,7,,,,,5.9,,10.0,994.0,,,994
2025-01-08 17:00,41° 36' N / 055° 13' W,Noon At Sea,25.00,219,8.76,10.79,-1.77,-0.26,Y,244.0,,12.5,219.00,878.00,403.7,,,452.7,,,,,,36.2,3.5,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,80.50,7774,186.3,25.00,12.00,25.00,,4200.0,10000.0,,350.0,400.0,,25.00,25.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 11:00,-5,NW,6,,,,,4.7,,9.0,993.0,,,993
2025-01-09 17:00,40° 56' N / 057° 03' W,Noon At Sea,24.00,92,3.83,6.37,-2.16,-0.38,N,244.0,,12.5,90.00,786.00,355.7,,,452.7,,,,,,24.2,3.8,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,66.60,5321,189.5,24.00,21.80,24.00,,9810.0,10800.0,,450.0,450.0,,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 15:00,-5,W,10,,,,,6.0,,11.0,989.0,,,989
2025-01-10 17:00,40° 13' N / 059° 19' W,Noon At Sea,24.00,113,4.71,6.86,-1.94,-0.21,N,264.0,,12.5,115.00,673.00,305.0,,,452.7,,,,,,29.2,3.5,,,,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,71.40,6478,187.8,24.00,24.00,24.00,,9600.0,9600.0,,400.0,400.0,,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 17:00,-5,NW,10,,,,,5.3,,10.0,993.0,,,993
2025-01-11 17:00,40° 04' N / 061° 50' W,Noon At Sea,24.00,116,4.83,6.49,-1.78,0.12,N,264.0,,12.5,114.00,557.00,251.2,,,452.7,,,,,,30.3,3.5,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,69.50,6709,188.2,24.00,5.30,24.00,19.20,1590.0,8400.0,6720.0,300.0,350.0,350.0,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 17:00,-5,N,10,,,,,3.0,,10.0,1005.0,,,1005
2025-01-12 05:30,39° 50' N / 065° 29' W,Begin Fuel Change Over,12.50,169,13.52,13.92,-1.19,0.79,N,,,,170.00,,235.1,,,452.7,,,,,,12.5,1.6,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,86.80,6500,153.8,12.50,,12.50,12.50,,5625.0,5625.0,,450.0,450.0,12.50,12.50,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 17:00,-5,,,,,,,,,,,,,
2025-01-12 07:00,39° 50' N / 065° 48' W,End Fuel Change Over,1.50,15,9.76,10.96,-1.64,0.44,N,,,,15.00,,235.1,,,450.1,,,,,,,,,,,,,,,1.0,,0.8,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,86.80,6500,102.6,1.50,,1.50,1.50,,675.0,675.0,,450.0,450.0,1.50,1.50,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 17:00,-5,,,,,,,,,,,,,
2025-01-12 17:00,40° 19' N / 068° 05' W,Noon At Sea,10.00,109,10.90,12.10,-1.26,0.06,N,285.0,,12.5,109.00,264.00,235.1,,,430.4,,,,,,,,,,,,,,,14.0,,1.2,,4.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,86.80,6500,215.4,10.00,,10.00,10.00,,4500.0,4500.0,,450.0,450.0,10.00,10.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USAMB,DEWVN,2025-01-13 19:00,-5,NW,6,,,,,2.4,,5.0,,,,
2025-01-13 15:18,AMBROSE L/V,End Of Sea Passage,22.30,242,10.85,10.77,-0.19,0.27,Y,,,,240.00,,235.1,,,384.8,,,,,,,,,,,,,,,27.7,,3.6,,14.3,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,80.70,6897,180.1,22.30,,22.30,22.30,,10035.0,10035.0,,450.0,450.0,22.30,22.30,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,,DEWVN,2025-01-13 19:00,,W,3,,,,,0.5,,6.0,1022.0,,,1022
2025-01-13 17:00,40° 29' N / 073° 35' W,Noon Maneuvering,1.70,12,,,,,,300.0,,10.0,13.00,10.00,235.1,,,382.8,,,,,,,,,,,,,,,0.7,,0.2,,1.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,47.20,2286,180.1,1.70,,1.70,1.70,,646.0,646.0,,380.0,380.0,1.70,1.70,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,,,2025-01-13 19:00,,W,3,,,,,0.5,,5.0,1022.0,,,1022
2025-01-13 18:00,40° 30' N / 073° 39' W,Drop Anchor,1.00,2,,,,,,,,,1.50,,235.1,,,381.4,,,,,,,,,,,,,,,0.1,,0.4,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.00,1.00,,450.0,450.0,,450.0,450.0,1.00,1.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,W,3,,,,,0.5,,5.0,1022.0,,,1022
2025-01-14 12:48,40° 30' N / 073° 39' W,Heave Anchor,18.80,0,,,,,,225.0,,10.0,,10.00,235.1,,,366.1,,,,,,,,,,,,,,,,,3.2,,12.1,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,18.80,18.80,,8460.0,8460.0,,450.0,450.0,18.80,18.80,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,,,,,,,,,,,,,
2025-01-14 17:00,40° 28' N / 073° 33' W,Noon Maneuvering,4.20,5,,,,,,270.0,,10.0,5.00,10.00,235.1,,,362.9,,,,,,,,,,,,,,,0.9,,0.4,,1.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.30,4460,403.6,0.50,,4.20,4.20,,1260.0,1260.0,,300.0,300.0,4.20,4.20,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,,,2025-01-13 19:00,,NW,6,,,,,0.6,,1.0,1022.0,,,1022
2025-01-15 17:00,40° 30' N / 073° 32' W,Noon Maneuvering,24.00,20,,,,,,225.0,,10.0,15.00,12.00,235.1,,,341.0,,,,,,,,,,,,,,,1.6,,4.1,,16.2,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,38.20,1532,180.1,5.80,,24.00,24.00,,12000.0,12000.0,,500.0,500.0,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,,,2025-01-13 19:00,,NW,6,,,,,0.5,,4.0,1025.0,,,1025
2025-01-15 23:18,40° 29' N / 073° 39' W,Drop Anchor,6.30,8,,,,,,,,,7.00,,235.1,,,333.2,,,,,,,,,,,,,,,0.7,,1.6,,5.5,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,35.90,1690,180.1,2.30,,6.30,6.30,,3276.0,3276.0,,520.0,520.0,6.30,6.30,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,NW,4,,,,,0.4,,3.0,1025.0,,,1025
2025-01-16 17:00,40° 29' N / 073° 39' W,Noon Maneuvering,17.70,0,,,,,,,,,,10.00,235.1,,,320.2,,,,,,,,,,,,,,,,,2.9,,10.1,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70,17.70,,6726.0,6726.0,,380.0,380.0,17.70,17.70,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,NW,4,,,,,0.4,,0.0,1020.0,,,1020
2025-01-17 17:00,40° 29' N / 073° 39' W,Noon Maneuvering,24.00,0,,,,,,,,,,12.00,235.1,,,306.0,,,,,,,,,,,,,,,,,2.2,,12.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,6.30,,9120.0,2205.0,,380.0,350.0,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,NW,4,,,,,0.4,,8.0,1023.0,,,1023
2025-01-18 17:00,40° 30' N / 073° 39' W,Noon Maneuvering,24.00,0,,,,,,,,,,8.00,235.1,,,290.5,,,,,,,,,,,,,,,,,2.5,,13.0,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,6.70,,8740.0,2345.0,,380.0,350.0,24.00,24.00,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,SW,5,,,,,0.4,,8.0,1020.0,,,1020
2025-01-19 06:36,40° 30' N / 073° 39' W,Heave Anchor,13.60,0,,,,,,263.0,,10.0,,8.00,235.1,,,277.5,,,,,,,,,,,,,,,,,3.0,,10.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.60,13.60,,5440.0,5440.0,,400.0,400.0,13.60,13.60,,13.80,13.80,13.80,98655.6,0.00,,L,123177.9,12.50,,,USNYC,,2025-01-13 19:00,-5,,,,,,,,,,,,,
2025-01-19 12:42,NEW YORK,Arrival,6.10,30,4.92,,,,,,,,31.00,,235.1,,,267.9,,,,,,,,,,,,,,,3.1,,1.6,,4.9,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,60.80,4198,180.1,4.10,,6.10,6.10,,2867.0,2867.0,,470.0,470.0,6.10,6.10,,13.80,13.80,13.80,98655.6,0.00,,L,122196.0,12.50,,,,,2025-01-13 19:00,,,,,,,,,,,,,,
2025-01-19 17:00,NEW YORK,Noon In Port,4.30,,,,,,,,,,,,235.1,,,264.4,,,,,,,,,,,,,,,,,0.7,,2.8,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,4.30,,2150.0,2150.0,,500.0,500.0,4.30,4.30,,,,,,,,,,,,,,,,,NW,2,,,,,0.2,,-5.0,1030.0,,,1030
2025-01-20 17:00,NEW YORK,Noon In Port,24.00,,,,,,,,,,,,235.1,,,234.2,,,,,,,,,,,,,,,,,3.8,,26.4,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,,10800.0,10800.0,,450.0,450.0,24.00,24.00,24.00,,,,,,,,,,,,,,,,NW,2,,,,,0.1,,-7.0,1030.0,,,1030
2025-01-21 17:00,NEW YORK,Noon In Port,24.00,,,,,,,,,,,,235.1,,,205.4,,,,,,,,,,,,,,,,,4.6,,24.2,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,,13680.0,13680.0,,570.0,570.0,24.00,24.00,,,,,,,,,,,,,,,,,NNW,2,,,,,0.1,,-7.0,1030.0,,,1030
2025-01-22 00:42,40° 42' N / 074° 00' W,Begin Shifting Berth,7.70,,,,,,,,,,,,235.1,,,200.0,,,,,,,,,,,,,,,,,1.4,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70,7.70,,4158.0,4158.0,,540.0,540.0,7.70,7.70,7.70,6.40,10.00,8.20,61576.6,3.60,,,70001.6,,,,,,,,,,,,,,,,,,,,
2025-01-22 04:00,40° 42' N / 074° 00' W,End Shifting Berth,3.30,2,,,,,,,,,,,235.1,,,198.7,,,,,,,,,,,,,,,0.2,,0.3,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.00,345,175.6,3.30,,3.30,3.30,,825.0,825.0,,250.0,250.0,3.30,3.30,,6.40,10.00,8.20,61576.6,3.60,,,70001.6,,,,USNYC,,,-5,,,,,,,,,,,,,
2025-01-22 17:00,NEW YORK,Noon In Port,13.00,,,,,,,,,,,,235.1,,,189.3,,,,,,,,,,,,,,,,,1.9,,7.5,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13.00,,5850.0,5850.0,,450.0,450.0,13.00,13.00,13.00,6.40,10.00,8.20,61576.6,3.60,,,70001.6,,,,,,,,NW,2,,,,,0.1,,-7.0,1030.0,,,1030
2025-01-23 17:00,NEW YORK,Noon In Port,24.00,,,,,,,,,,,,235.1,,,155.3,,,,,,,,,,,,,,,,,4.4,,29.6,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24.00,,12960.0,12960.0,,540.0,540.0,24.00,24.00,24.00,6.40,10.00,8.20,61576.6,3.60,,,70001.6,,,,,,,,NW,2,,,,,0.1,,-5.0,1030.0,,,1030
2025-01-24 02:42,NEW YORK,Departure,9.70,,,,,,,93.0,,4.0,,1980.00,235.1,,,148.8,,,,,,,,,,,,,,,,,2.0,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70,9.70,,5044.0,5044.0,,520.0,520.0,9.70,9.70,,6.00,8.00,7.00,0.0,2.00,,,57989.0,,,,USHOU,,2025-02-04 11:00,-6,,,,,,,,,,,,,
2025-01-24 03:48,40° 38' N / 074° 02' W,Drop Anchor,1.10,4,,,,,,,,,3.00,,235.1,,,148.2,,,,,,,,,,,,,,,0.2,,0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,48.60,1186,153.3,1.10,,1.10,1.10,,572.0,572.0,,520.0,520.0,1.10,1.10,1.10,6.00,8.00,7.00,0.0,2.00,,,57989.0,12.50,,,USHOU,,2025-02-04 11:00,-6,NW,2,,,,,0.1,,-4.0,1028.0,,,1028
2025-01-24 17:00,40° 38' N / 074° 02' W,Noon Maneuvering,13.20,0,,,,,,,,,,1990.00,1515.2,,,597.0,,,,,,,,,,,,,,,,,0.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,13.20,13.20,,633.6,633.6,,48.0,48.0,13.20,13.20,,6.00,8.00,7.00,0.0,2.00,,,57989.0,12.50,,,USHOU,,2025-02-04 11:00,-6,WNW,2,,,,,0.2,,-4.0,1030.0,,,1030
2025-01-25 17:00,40° 38' N / 074° 02' W,Noon Maneuvering,24.00,0,,,,,,,,,,1990.00,1515.2,,,589.7,,,,,,,,,,,,,,,,,4.1,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,14280.0,,,595.0,,24.00,24.00,,6.00,8.00,7.00,0.0,2.00,,,57989.0,12.50,,,USHOU,,2025-02-04 11:00,-6,NW,2,,,,,0.2,,-4.0,1028.0,,,1028
2025-01-26 07:30,40° 38' N / 074° 02' W,Heave Anchor,14.50,0,,,,,,172.0,,12.0,,1193.00,1515.2,,,584.3,,,,,,,,,,,,,,,,,3.0,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,14.50,,7250.0,7250.0,,500.0,500.0,14.50,14.50,,6.00,8.00,7.00,0.0,2.00,,,57989.0,12.50,,,USHOU,,2025-02-04 11:00,-6,,,,,,,,,,,,,
